#********** START OF renumber-sheet.ulp ULP Version 4.4.4 05-03-2017 :21:26:39 LOG **********#
    Conversion completed with no Messages
#********** END OF renumber-sheet.ulp ULP Version 4.4.4 05-03-2017 :21:26:39 LOG **********#

#********** START OF fix_via_hack.ulp ULP Version 4.6.0 05-03-2017 :21:26:40 LOG **********#
TRACK	WireCount=1		Net=3.3V				start(X=43688.000000 Y=4216.400000)	end(X=43688.000000 Y=4953.000000 )
PADFILL	PadCount=235		Net=GND				(X=17235.793750 Y=8994.746875)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=263		Net=GND				(X=19735.793750 Y=17494.746875)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=267		Net=GND				(X=17735.793750 Y=17494.746875)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=271		Net=GND				(X=15235.793750 Y=15494.746875)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=283		Net=GND				(X=6604.000000 Y=6319.900000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=291		Net=GND				(X=43916.600000 Y=9950.600000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=292		Net=GND				(X=44716.600000 Y=10400.600000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=294		Net=GND				(X=44716.600000 Y=11400.600000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=295		Net=GND				(X=44716.600000 Y=11900.600000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=296		Net=GND				(X=43916.600000 Y=12350.600000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=300		Net=GND				(X=12688.000000 Y=16534.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=306		Net=GND				(X=50179.000000 Y=6180.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=307		Net=GND				(X=50179.000000 Y=8930.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=311		Net=GND				(X=11299.559375 Y=10032.171875)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=313		Net=GND				(X=9597.759375 Y=7822.371875)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=315		Net=GND				(X=37224.800000 Y=17332.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=317		Net=GND				(X=35774.800000 Y=18482.000000)	LayerStart=1	LayerEnd=1
#********** END OF fix_via_hack.ulp ULP Version 4.6.0 05-03-2017 :21:26:40 LOG **********#

#********** START OF eagle6xx-sch-to-kicad-sch.ulp 1.9 05-03-2017 :21:27:37 LOG **********#
Device Name Conflict: Device=GND from Internal SCH lib=SparkFun  With Device=GND from LIB=SparkFun-Aesthetics
Device Name Conflict: Device=GND from Internal SCH lib=SparkFun-Aesthetics  With Device=GND from LIB=SparkFun
#********** END OF eagle6xx-sch-to-kicad-sch.ulp 1.9 05-03-2017 :21:27:37 LOG **********#

#********** START OF exp-lbrs.ulp 6.6 05-03-2017 :21:27:41 LOG **********#
OK: Eagle lib export from SCH/PCB OK
    Conversion completed with no Messages
#********** END OF exp-lbrs.ulp 6.6 05-03-2017 :21:27:41 LOG **********#


#********** START OF eagle-lbr2kicad-1.0.ulp 2.7 05-03-2017 :21:27:44 LOG **********#
Missing Prefix Part =''				SPARKFUN_U.FL					Flutter_ARM_R5_Basic		M
Missing Prefix Part =SO8				TAYLOR_SO-8					Flutter_ARM_R5_Basic		M
Missing Prefix Part =UDFN				TAYLOR_UDFN_8_ATSHA204					Flutter_ARM_R5_Basic		M
Missing Prefix Part =''				TAYLOR_IPC_BALUN_CC1200					Flutter_ARM_R5_Basic		M
Missing Prefix Part =0402				TAYLOR_0402-CAP					Flutter_ARM_R5_Basic		M
Missing Prefix Part =0603-CAP				TAYLOR_0603-CAP					Flutter_ARM_R5_Basic		M
Missing Prefix Part =0805				TAYLOR_0808-CAP					Flutter_ARM_R5_Basic		M
Missing Prefix Part =''				TAYLOR_QFN-32					Flutter_ARM_R5_Basic		M
Missing Prefix Part =0402				TAYLOR_0402-IND					Flutter_ARM_R5_Basic		M
Missing Prefix Part =0603-IND				TAYLOR_0603-IND					Flutter_ARM_R5_Basic		M
Missing Prefix Part =DR74				TAYLOR_INDUCTOR_COOPER_COILTRONICS_DR74					Flutter_ARM_R5_Basic		M
Missing Prefix Part =SDR0403				TAYLOR_SDR0403_INDUCTOR					Flutter_ARM_R5_Basic		M
Missing Prefix Part =SRN6045				TAYLOR_INDUCTOR_BOURNS_SRN6045					Flutter_ARM_R5_Basic		M
Missing Prefix Part =SRR1260				TAYLOR_SRR1260_SMD_INDUCTOR					Flutter_ARM_R5_Basic		M
Missing Prefix Part =XAL6030				TAYLOR_INDUCTOR_COILCRAFT_XAL60XX					Flutter_ARM_R5_Basic		M
Missing Prefix Part =XFL4020				TAYLOR_INDUCTOR_COILDCRAFT_XFL4020_SERIES					Flutter_ARM_R5_Basic		M
Missing Prefix Part =''				TAYLOR_MICRO-USB-SLOT-2					Flutter_ARM_R5_Basic		M
Missing Prefix Part =4SLOT				TAYLOR_USB-MICROB-SLOT-HOLE					Flutter_ARM_R5_Basic		M
Missing Prefix Part =''				TAYLOR_LQFP48					Flutter_ARM_R5_Basic		M
Missing Prefix Part =''				TAYLOR_12MM_SNAP_DOME_SMALLER					Flutter_ARM_R5_Basic		M
Missing Prefix Part =BASIC				TAYLOR_12MM_SNAP_DOME					Flutter_ARM_R5_Basic		M
Missing Prefix Part =ABM8G				TAYLOR_XTAL_ABRACON_ABM8G_3.2MMX2.5MM					Flutter_ARM_R5_Basic		M
Missing Prefix Part =ABMM10				TAYLOR_XTAL_ABRACON_2.5MMX2MM					Flutter_ARM_R5_Basic		M
Missing Prefix Part =EPSON				TAYLOR_XTAL_EPSON_FA_128_2MMX1.6MM					Flutter_ARM_R5_Basic		M
#********** END OF eagle-lbr2kicad-1.0.ulp 2.7 05-03-2017 :21:27:44 LOG **********#

